=== SLURM Job 15252029 Array Task 4 ===
Processing Pot A Piece 4
Start time: Fri 05 Sep 2025 11:20:24 AEST
Running on node: spartan-bm010
Working directory: /data/gpfs/projects/punim2657/sfs_preprocessing
Opening log file:  /home/zhuojiat/java.log.36113
=== EXTRACTING AXIS FOR PIECE 04 ===
  📁 Loading TPS surfaces...
  📊 Surface 0: 9399 points
  📊 Surface 1: 10462 points
  🔄 Running PotSAC axis extraction...
  🔄 Data format: 6x19861
[iter][eval] cost actual_cost_change |grad| |TR| MQ
[0000][0000] 9.150328e+04 0.000e+00 1.59e+06 1.00e+01 1.00e+00
[0001][0001] 8.024057e+04 1.126e+04 1.59e+06 1.00e+01 1.40e+00
[0002][0002] 7.780415e+04 2.436e+03 5.85e+05 3.00e+01 1.62e+00
[0003][0003] 7.524885e+04 2.555e+03 1.01e+05 9.00e+01 1.76e+00
[0004][0004] 7.325568e+04 1.993e+03 4.71e+04 2.70e+02 2.30e+00
[0005][0005] 7.160765e+04 1.648e+03 8.91e+04 8.10e+02 2.25e+00
[0006][0006] 7.095196e+04 6.557e+02 3.48e+05 2.43e+03 1.11e+00
[0007][0007] 7.089689e+04 5.507e+01 4.57e+04 7.29e+03 1.27e+00
[iter][eval] cost actual_cost_change |grad| |TR| MQ
[0000][0000] 7.300874e+04 0.000e+00 1.49e+06 1.00e+01 1.00e+00
[0001][0001] 5.766364e+04 1.535e+04 1.49e+06 1.00e+01 1.61e+00
[0002][0002] 5.417862e+04 3.485e+03 6.09e+05 3.00e+01 1.51e+00
[0003][0003] 5.367391e+04 5.047e+02 2.20e+05 9.00e+01 1.43e+00
[0004][0004] 5.360321e+04 7.070e+01 7.98e+04 2.70e+02 1.47e+00
[0005][0005] 5.358719e+04 1.602e+01 3.06e+04 8.10e+02 1.51e+00
[iter][eval] cost actual_cost_change |grad| |TR| MQ
[0000][0000] 5.826693e+04 0.000e+00 7.42e+05 1.00e+01 1.00e+00
[0001][0001] 5.560629e+04 2.661e+03 7.42e+05 1.00e+01 1.42e+00
[0002][0002] 5.517993e+04 4.264e+02 3.02e+05 3.00e+01 1.39e+00
[0003][0003] 5.510912e+04 7.082e+01 1.16e+05 9.00e+01 1.42e+00
[0004][0004] 5.509594e+04 1.318e+01 4.65e+04 2.70e+02 1.44e+00
[iter][eval] cost actual_cost_change |grad| |TR| MQ
[0000][0000] 1.070466e+05 0.000e+00 1.79e+06 1.00e+01 1.00e+00
[0001][0001] 8.021007e+04 2.684e+04 1.79e+06 1.00e+01 1.42e+00
[0002][0002] 7.358828e+04 6.622e+03 6.27e+05 3.00e+01 1.61e+00
[0003][0003] 7.166343e+04 1.925e+03 4.06e+05 9.00e+01 1.46e+00
[0004][0004] 7.124240e+04 4.210e+02 6.57e+05 2.70e+02 1.11e+00
[0005][0005] 7.117367e+04 6.873e+01 1.56e+05 8.10e+02 1.25e+00
[iter][eval] cost actual_cost_change |grad| |TR| MQ
[0000][0000] 8.915130e+04 0.000e+00 1.57e+06 1.00e+01 1.00e+00
[0001][0001] 7.759512e+04 1.156e+04 1.57e+06 1.00e+01 1.43e+00
[0002][0002] 7.461494e+04 2.980e+03 5.96e+05 3.00e+01 1.82e+00
[0003][0003] 7.196440e+04 2.651e+03 1.33e+05 9.00e+01 2.47e+00
[0004][0004] 7.129491e+04 6.695e+02 2.13e+05 2.70e+02 1.31e+00
[0005][0005] 7.118886e+04 1.061e+02 6.31e+04 8.10e+02 8.98e-01
[0006][0006] 7.117079e+04 1.807e+01 7.27e+04 1.64e+03 1.58e+00
[iter][eval] cost actual_cost_change |grad| |TR| MQ
[0000][0000] 1.359915e+05 0.000e+00 3.04e+06 1.00e+01 1.00e+00
[0001][0001] 1.079238e+05 2.807e+04 3.04e+06 1.00e+01 1.46e+00
[0002][0002] 1.008539e+05 7.070e+03 1.39e+06 3.00e+01 1.52e+00
[0003][0003] 9.903362e+04 1.820e+03 6.36e+05 9.00e+01 1.48e+00
[0004][0004] 9.859371e+04 4.399e+02 2.81e+05 2.70e+02 1.47e+00
[0005][0005] 9.843500e+04 1.587e+02 1.29e+05 8.10e+02 1.62e+00
[0006][0006] 9.836580e+04 6.920e+01 8.04e+04 2.43e+03 1.83e+00
[iter][eval] cost actual_cost_change |grad| |TR| MQ
[0000][0000] 8.117594e+04 0.000e+00 8.80e+05 1.00e+01 1.00e+00
[0001][0001] 7.522279e+04 5.953e+03 8.80e+05 1.00e+01 1.43e+00
[0002][0002] 7.408542e+04 1.137e+03 3.51e+05 3.00e+01 1.40e+00
[0003][0003] 7.388985e+04 1.956e+02 1.66e+05 9.00e+01 1.42e+00
[0004][0004] 7.381546e+04 7.439e+01 7.76e+04 2.70e+02 2.99e+00
[0005][0005] 7.289765e+04 9.178e+02 2.63e+05 8.10e+02 1.83e+00
[0006][0006] 7.218032e+04 7.173e+02 2.11e+05 2.43e+03 2.61e+00
[0007][0007] 7.098485e+04 1.195e+03 4.10e+05 7.29e+03 2.32e+00
[0008][0008] 7.087578e+04 1.091e+02 3.82e+05 2.19e+04 7.45e-01
[0009][0009] 7.086144e+04 1.434e+01 4.79e+04 2.48e+04 1.51e+00
[iter][eval] cost actual_cost_change |grad| |TR| MQ
[0000][0000] 1.552268e+05 0.000e+00 3.40e+06 1.00e+01 1.00e+00
[0001][0001] 1.179687e+05 3.726e+04 3.40e+06 1.00e+01 1.42e+00
[0002][0002] 1.101095e+05 7.859e+03 1.42e+06 3.00e+01 1.51e+00
[0003][0003] 1.075224e+05 2.587e+03 6.40e+05 9.00e+01 1.63e+00
[0004][0004] 1.053925e+05 2.130e+03 1.83e+05 2.70e+02 1.64e+00
[0005][0005] 1.044825e+05 9.100e+02 1.98e+05 8.10e+02 1.87e+00
[0006][0006] 1.031983e+05 1.284e+03 2.57e+05 2.43e+03 2.65e+00
[0007][0007] 1.042269e+05 -1.029e+03 3.59e+05 7.29e+03 -1.40e+00
[0007][0008] 1.042268e+05 -1.029e+03 3.59e+05 3.65e+03 -1.40e+00
[0007][0009] 1.042268e+05 -1.028e+03 3.59e+05 9.11e+02 -1.40e+00
[0007][0010] 1.042259e+05 -1.028e+03 3.59e+05 1.14e+02 -1.40e+00
[0007][0011] 1.042117e+05 -1.013e+03 3.59e+05 7.12e+00 -1.38e+00
[0007][0012] 1.037532e+05 -5.549e+02 3.59e+05 2.22e-01 -7.57e-01
[0007][0013] 1.020450e+05 1.153e+03 3.59e+05 3.48e-03 2.04e+00
[0008][0014] 1.008154e+05 1.230e+03 4.14e+05 1.04e-02 1.09e+00
[0009][0015] 9.955386e+04 1.262e+03 5.72e+05 3.13e-02 1.27e+00
[0010][0016] 9.837904e+04 1.175e+03 1.81e+05 9.39e-02 1.86e+00
[0011][0017] 9.743956e+04 9.395e+02 1.45e+05 2.82e-01 2.17e+00
